date,yield,close,close_1
2017/7/5,3.576,197.1319,96.54746273
2017/7/6,3.566,197.332,96.55678505
2017/7/7,3.5897,197.0812,96.53469409
2017/7/10,3.5911,197.0511,96.53338945
2017/7/11,3.5836,197.1507,96.54037898
2017/7/12,3.5749,197.3124,96.5484881
2017/7/13,3.5643,197.4713,96.55837002
2017/7/14,3.5637,197.4587,96.55892943
2017/7/17,3.5626,197.5531,96.55995504
2017/7/18,3.5851,197.1735,96.53898099
2017/7/19,3.5901,197.1056,96.53432133
2017/7/20,3.574,197.2835,96.54932705
2017/7/21,3.5829,197.1872,96.54103139
2017/7/24,3.5769,197.2181,96.54662381
2017/7/25,3.592,197.0668,96.53255078
2017/7/26,3.617,196.8201,96.50926006
2017/7/27,3.6021,197.0268,96.52313997
2017/7/28,3.6034,197.039,96.52192882
2017/7/31,3.626,196.8802,96.50087816
2017/8/1,3.6373,196.7036,96.49035627
2017/8/2,3.6311,196.844,96.49612906
2017/8/3,3.6262,196.943,96.50069191
2017/8/4,3.6262,197.0422,96.50069191
2017/8/7,3.6626,196.5918,96.46680674
2017/8/8,3.6538,196.5948,96.47499658
2017/8/9,3.66,196.5865,96.46922632
2017/8/10,3.6375,196.8397,96.49017006
2017/8/11,3.6163,197.1405,96.50991205
2017/8/14,3.5925,197.3651,96.53208485
2017/8/15,3.5801,197.3931,96.5436411
2017/8/16,3.5988,197.1336,96.52621459
2017/8/17,3.5926,197.196,96.53199167
2017/8/18,3.5951,197.2124,96.52966212
2017/8/21,3.6181,196.9767,96.50823553
2017/8/22,3.6201,196.9675,96.5063728
2017/8/23,3.6152,197.087,96.51093662
2017/8/24,3.6252,196.9604,96.50162316
2017/8/25,3.6327,196.8998,96.49463924
2017/8/28,3.6502,196.7547,96.47834736
2017/8/29,3.6303,196.9679,96.49687398
2017/8/30,3.6303,196.9703,96.49687398
2017/8/31,3.6265,197.0916,96.50041254
2017/9/1,3.6353,197.0383,96.49221839
2017/9/4,3.6454,196.9796,96.48281545
2017/9/5,3.6641,196.7552,96.46541088
2017/9/6,3.6554,196.9282,96.47350741
2017/9/7,3.6155,197.3696,96.51065719
2017/9/8,3.6005,197.583,96.52463067
2017/9/11,3.6156,197.5094,96.51056405
2017/9/12,3.6181,197.5266,96.50823553
2017/9/13,3.6356,197.4081,96.49193906
2017/9/14,3.5982,197.8085,96.52677363
2017/9/15,3.5982,197.8496,96.52677363
2017/9/18,3.622,197.5533,96.50460327
2017/9/19,3.6158,197.6487,96.51037776
2017/9/20,3.6209,197.5396,96.50562773
2017/9/21,3.6334,197.3837,96.49398746
2017/9/22,3.6209,197.6545,96.50562773
2017/9/25,3.5985,197.9015,96.52649411
2017/9/26,3.6172,197.8272,96.50907378
2017/9/27,3.6235,197.8012,96.50320632
2017/9/28,3.6136,197.8743,96.51242694
2017/9/29,3.6136,197.8912,96.51242694
2017/10/9,3.6477,197.7802,96.48067444
2017/10/10,3.647,197.8465,96.48132604
2017/10/11,3.654,197.8523,96.47481043
2017/10/12,3.6765,197.6547,96.45387335
2017/10/13,3.674,197.7248,96.45619924
2017/10/16,3.7054,197.2906,96.42699416
2017/10/17,3.7409,196.8539,96.39399697
2017/10/18,3.7366,196.8345,96.39799261
2017/10/19,3.7167,197.0659,96.41648838
2017/10/20,3.7217,197.0248,96.41184053
2017/10/23,3.7231,197.0092,96.41053921
2017/10/24,3.722,197.0039,96.41156167
2017/10/25,3.7768,196.3428,96.36065094
2017/10/26,3.7769,196.4742,96.36055808
2017/10/27,3.8266,195.8644,96.31443195
2017/10/30,3.9115,194.6977,96.23573907
2017/10/31,3.8917,194.8545,96.25407997
2017/11/1,3.863,195.3028,96.28067743
2017/11/2,3.8718,195.2412,96.27252055
